,Don Young,@repdonyoung,,,@repdonyoung
,,,,,
AL-01,Jo Bonner,@RepJoBonner,,,@RepJoBonner
,,,,,
AL-02,Martha Roby,@RepMarthaRoby,,,@RepMarthaRoby
,,,,,
AL-03,Mike D. Rogers,@RepMikeRogersAL,,,@RepMikeRogersAL
,,,,,
AL-04,Robert Aderholt,@Robert_Aderholt,,,@Robert_Aderholt
,,,,,
AL-05,Mo Brooks,@RepMoBrooks,,,@RepMoBrooks
,,,,,
AL-06,Spencer Bachus,@BachusAL06,,,@BachusAL06
,,,,,
AL-07,Terri Sewell,@RepTerriSewell,,,@RepTerriSewell
,,,,,
AR-01,Rick Crawford,@RepRickCrawford,,,@RepRickCrawford
,,,,,
AR-02,Tim Griffin,@RepTimGriffin,,,@RepTimGriffin
,,,,,
AR-03,Steve Womack,@rep_stevewomack,,,@rep_stevewomack
,,,,,
AR-04,Tom Cotton,@tomcottonAR,"<-- he says this is his ""non government"" twitter account",,@tomcottonAR
,,,,,
AZ-01,Ann Kirkpatrick,@Ann_Kirkpatrick,,,@Ann_Kirkpatrick
,,,,,
AZ-02,Ron Barber,@RepRonBarber,campaign twitter account: RonBarberAZ,<-- hasn't been updated since election,@RepRonBarber
,,,,,
AZ-03,Raúl Grijalva,@RepRaulGrijalva,,,@RepRaulGrijalva
,,,,,
AZ-04,Paul Gosar,@RepGosar,,,@RepGosar
,,,,,
AZ-05,Matt Salmon,@salmoncongress,,,@salmoncongress
,,,,,
AZ-06,David Schweikert,@RepDavid,,,@RepDavid
,,,,,
AZ-07,Ed Pastor,,just a campaign one,,
,,,,,
AZ-08,Trent Franks,@RepTrentFranks,,,@RepTrentFranks
,,,,,
AZ-09,Kyrsten Sinema,@kyrstensinema,,,@kyrstensinema
,,,,,
CA-01,Doug LaMalfa,@DougLaMalfa,,,@DougLaMalfa
,,,,,
CA-02,Jared Huffman,@RepHuffman,,,@RepHuffman
,,,,,
CA-03,John Garamendi,@RepGaramendi,,,@RepGaramendi
,,,,,
CA-04,Tom McClintock,@RepMcClintock,,,@RepMcClintock
,,,,,
CA-05,Mike Thompson,@RepThompson,RepThompson,<-- seems a little weird,@RepThompson
,,,,,
CA-06,Doris Matsui,@DorisMatsui,,,@DorisMatsui
,,,,,
CA-07,Ami Bera,@RepBera,,,@RepBera
,,,,,
CA-08,Paul Cook,,joinpaulcook,<-- campaign,
,,,,,
CA-09,Jerry McNerney,@RepMcNerney,,,@RepMcNerney
,,,,,
CA-10,Jeff Denham,@RepJeffDenham,,,@RepJeffDenham
,,,,,
CA-11,George Miller,@askgeorge,,,@askgeorge
,,,,,
CA-12,Nancy Pelosi,@NancyPelosi,,,@NancyPelosi
,,,,,
CA-13,Barbara Lee,@RepBarbaraLee,,,@RepBarbaraLee
,,,,,
CA-14,Anna Eshoo,@RepAnnaEshoo,,,@RepAnnaEshoo
,,,,,
CA-14,Jackie Speier,@RepSpeier,,,@RepSpeier
,,,,,
CA-15,Eric Swalwell,@RepSwalwell,,,@RepSwalwell
,,,,,
CA-16,Zoe Lofgren,@RepZoeLofgren,,,@RepZoeLofgren
,,,,,
CA-16,Jim Costa,@RepJimCosta,,,@RepJimCosta
,,,,,
CA-17,Sam Farr,@RepSamFarr,,,@RepSamFarr
,,,,,
CA-17,Mike Honda,@RepMikeHonda,,,@RepMikeHonda
,,,,,
CA-21,David Valadao,@dgvaladao,,,@dgvaladao
,,,,,
CA-22,Devin Nunes,@DevinNunes,,,@DevinNunes
,,,,,
CA-23,Kevin McCarthy,@kevinomccarthy,"also @GOPWhip, which seems more active",,@kevinomccarthy
,,,,,
CA-24,Lois Capps,@RepLoisCapps,,,@RepLoisCapps
,,,,,
CA-25,Buck McKeon,@BuckMcKeon,,,@BuckMcKeon
,,,,,
CA-26,Julia Brownley,@JuliaBrownley,,,@JuliaBrownley
,,,,,
CA-27,Judy Chu,@RepJudyChu,,,@RepJudyChu
,,,,,
